,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
626,num_outbound_cmds,dst_host_srv_serror_rate,0.5024875621890548,0.472636815920398,0.5174129353233831,0.49751243781094523
439,num_compromised,rerror_rate,0.47761194029850745,0.48258706467661694,0.5024875621890548,0.48756218905472637
253,land,diff_srv_rate,0.46766169154228854,0.4577114427860697,0.5024875621890548,0.4759535655058043
342,hot,num_outbound_cmds,0.44776119402985076,0.5223880597014925,0.4527363184079602,0.47429519071310117
846,dst_host_srv_diff_host_rate,dst_host_serror_rate,0.48756218905472637,0.4577114427860697,0.472636815920398,0.472636815920398
307,urgent,num_file_creations,0.46766169154228854,0.48756218905472637,0.4577114427860697,0.4709784411276949
350,hot,srv_rerror_rate,0.44776119402985076,0.4925373134328358,0.46766169154228854,0.46932006633499174
248,land,serror_rate,0.5024875621890548,0.42786069651741293,0.47761194029850745,0.46932006633499174
279,wrong_fragment,is_guest_login,0.5024875621890548,0.48258706467661694,0.4228855721393035,0.46932006633499174
669,is_guest_login,dst_host_srv_rerror_rate,0.472636815920398,0.4975124378109453,0.43781094527363185,0.46932006633499174
427,num_compromised,su_attempted,0.42786069651741293,0.4925373134328358,0.48756218905472637,0.4693200663349917
493,su_attempted,srv_serror_rate,0.44776119402985076,0.472636815920398,0.48258706467661694,0.4676616915422886
801,srv_diff_host_rate,dst_host_serror_rate,0.4577114427860697,0.5024875621890548,0.43781094527363185,0.4660033167495854
486,su_attempted,num_access_files,0.4925373134328358,0.47761194029850745,0.42786069651741293,0.4660033167495854
852,dst_host_serror_rate,dst_host_rerror_rate,0.4427860696517413,0.472636815920398,0.48258706467661694,0.4660033167495854
587,num_access_files,is_guest_login,0.4975124378109453,0.417910447761194,0.47761194029850745,0.4643449419568823
193,src_bytes,dst_host_srv_rerror_rate,0.4626865671641791,0.48756218905472637,0.43781094527363185,0.4626865671641791
122,flag,land,0.4079601990049751,0.5074626865671642,0.472636815920398,0.4626865671641791
292,wrong_fragment,dst_host_diff_srv_rate,0.4228855721393035,0.4626865671641791,0.5024875621890548,0.4626865671641791
515,num_root,is_guest_login,0.40298507462686567,0.48756218905472637,0.4925373134328358,0.461028192371476
363,hot,dst_host_srv_rerror_rate,0.43283582089552236,0.47761194029850745,0.472636815920398,0.4610281923714759
572,num_shells,diff_srv_rate,0.4626865671641791,0.43781094527363185,0.47761194029850745,0.4593698175787728
367,num_failed_logins,root_shell,0.4577114427860697,0.472636815920398,0.44776119402985076,0.4593698175787728
273,wrong_fragment,num_root,0.5124378109452736,0.43781094527363185,0.4228855721393035,0.4577114427860696
492,su_attempted,serror_rate,0.48258706467661694,0.46766169154228854,0.4228855721393035,0.4577114427860696
590,num_access_files,serror_rate,0.5323383084577115,0.4527363184079602,0.3880597014925373,0.4577114427860696
602,num_access_files,dst_host_srv_diff_host_rate,0.5124378109452736,0.4527363184079602,0.4079601990049751,0.4577114427860696
77,protocol_type,dst_host_srv_serror_rate,0.472636815920398,0.46766169154228854,0.42786069651741293,0.45605306799336653
467,root_shell,rerror_rate,0.4427860696517413,0.44776119402985076,0.47761194029850745,0.45605306799336653
494,su_attempted,rerror_rate,0.4079601990049751,0.4527363184079602,0.5074626865671642,0.4560530679933665
192,src_bytes,dst_host_rerror_rate,0.4527363184079602,0.4527363184079602,0.4577114427860697,0.45439469320066334
426,num_compromised,root_shell,0.5074626865671642,0.4228855721393035,0.43283582089552236,0.45439469320066334
339,hot,num_file_creations,0.46766169154228854,0.4129353233830846,0.48258706467661694,0.45439469320066334
66,protocol_type,srv_rerror_rate,0.417910447761194,0.4626865671641791,0.47761194029850745,0.4527363184079602
390,num_failed_logins,dst_host_srv_diff_host_rate,0.4925373134328358,0.4129353233830846,0.4527363184079602,0.4527363184079602
141,flag,srv_serror_rate,0.4527363184079602,0.4577114427860697,0.44776119402985076,0.4527363184079602
