,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
181,src_bytes,same_srv_rate,0.7114427860696517,0.7114427860696517,0.6915422885572139,0.704809286898839
179,src_bytes,rerror_rate,0.7263681592039801,0.6517412935323383,0.7213930348258707,0.6998341625207297
183,src_bytes,srv_diff_host_rate,0.7114427860696517,0.7114427860696517,0.6616915422885572,0.6948590381426202
83,service,dst_bytes,0.7114427860696517,0.6417910447761194,0.7114427860696517,0.6882255389718077
192,src_bytes,dst_host_rerror_rate,0.6965174129353234,0.7213930348258707,0.6417910447761194,0.6865671641791046
770,same_srv_rate,diff_srv_rate,0.7263681592039801,0.6467661691542289,0.681592039800995,0.6849087893864013
44,protocol_type,dst_bytes,0.6716417910447762,0.6766169154228856,0.7064676616915423,0.6849087893864013
187,src_bytes,dst_host_diff_srv_rate,0.7064676616915423,0.6965174129353234,0.6517412935323383,0.6849087893864013
81,service,flag,0.736318407960199,0.6517412935323383,0.6567164179104478,0.681592039800995
186,src_bytes,dst_host_same_srv_rate,0.6517412935323383,0.6915422885572139,0.6965174129353234,0.6799336650082918
167,src_bytes,su_attempted,0.6517412935323383,0.6965174129353234,0.6915422885572139,0.6799336650082918
120,flag,src_bytes,0.6766169154228856,0.6616915422885572,0.6965174129353234,0.6782752902155887
189,src_bytes,dst_host_srv_diff_host_rate,0.6716417910447762,0.7014925373134329,0.6567164179104478,0.6766169154228856
776,same_srv_rate,dst_host_same_src_port_rate,0.6567164179104478,0.6915422885572139,0.6766169154228856,0.6749585406301825
85,service,wrong_fragment,0.6616915422885572,0.6915422885572139,0.6716417910447762,0.6749585406301825
180,src_bytes,srv_rerror_rate,0.6915422885572139,0.6666666666666666,0.6616915422885572,0.6733001658374792
156,flag,dst_host_srv_rerror_rate,0.6616915422885572,0.6467661691542289,0.7014925373134329,0.669983416252073
188,src_bytes,dst_host_same_src_port_rate,0.6666666666666666,0.6666666666666666,0.6766169154228856,0.669983416252073
168,src_bytes,num_root,0.6517412935323383,0.681592039800995,0.6766169154228856,0.669983416252073
172,src_bytes,num_outbound_cmds,0.6965174129353234,0.6268656716417911,0.6865671641791045,0.669983416252073
145,flag,diff_srv_rate,0.6666666666666666,0.6865671641791045,0.6467661691542289,0.6666666666666666
182,src_bytes,diff_srv_rate,0.736318407960199,0.6318407960199005,0.6318407960199005,0.6666666666666666
775,same_srv_rate,dst_host_diff_srv_rate,0.6517412935323383,0.6517412935323383,0.6865671641791045,0.6633499170812603
163,src_bytes,num_failed_logins,0.6766169154228856,0.6467661691542289,0.6666666666666666,0.6633499170812603
150,flag,dst_host_diff_srv_rate,0.6865671641791045,0.6467661691542289,0.6517412935323383,0.6616915422885573
194,src_bytes,??,0.6965174129353234,0.6567164179104478,0.6268656716417911,0.6600331674958541
174,src_bytes,is_guest_login,0.6517412935323383,0.681592039800995,0.6467661691542289,0.6600331674958541
158,src_bytes,dst_bytes,0.681592039800995,0.6069651741293532,0.6915422885572139,0.6600331674958541
252,land,same_srv_rate,0.6915422885572139,0.6517412935323383,0.6368159203980099,0.6600331674958541
3,duration,src_bytes,0.736318407960199,0.6069651741293532,0.6368159203980099,0.6600331674958541
208,dst_bytes,num_outbound_cmds,0.6119402985074627,0.6965174129353234,0.6666666666666666,0.6583747927031509
230,dst_bytes,??,0.6467661691542289,0.6467661691542289,0.681592039800995,0.6583747927031509
751,rerror_rate,dst_host_serror_rate,0.6119402985074627,0.681592039800995,0.6766169154228856,0.6567164179104478
164,src_bytes,logged_in,0.6666666666666666,0.6169154228855721,0.6865671641791045,0.6567164179104478
133,flag,num_shells,0.6865671641791045,0.6666666666666666,0.6169154228855721,0.6567164179104478
155,flag,dst_host_rerror_rate,0.6268656716417911,0.7164179104477612,0.6218905472636815,0.6550580431177445
637,is_host_login,same_srv_rate,0.6915422885572139,0.6417910447761194,0.6268656716417911,0.6533996683250415
778,same_srv_rate,dst_host_serror_rate,0.6169154228855721,0.6567164179104478,0.6865671641791045,0.6533996683250415
127,flag,logged_in,0.7014925373134329,0.6368159203980099,0.6218905472636815,0.6533996683250415
131,flag,num_root,0.6268656716417911,0.6268656716417911,0.7064676616915423,0.6533996683250415
135,flag,num_outbound_cmds,0.6716417910447762,0.6467661691542289,0.6417910447761194,0.6533996683250415
160,src_bytes,wrong_fragment,0.6666666666666666,0.6915422885572139,0.6019900497512438,0.6533996683250415
2,duration,flag,0.6666666666666666,0.6119402985074627,0.6766169154228856,0.6517412935323383
169,src_bytes,num_file_creations,0.6318407960199005,0.681592039800995,0.6368159203980099,0.6500829187396352
42,protocol_type,flag,0.6218905472636815,0.6517412935323383,0.6766169154228856,0.6500829187396352
159,src_bytes,land,0.6616915422885572,0.6567164179104478,0.6318407960199005,0.6500829187396352
121,flag,dst_bytes,0.6567164179104478,0.6616915422885572,0.6318407960199005,0.6500829187396352
722,serror_rate,dst_host_rerror_rate,0.6915422885572139,0.6169154228855721,0.6417910447761194,0.6500829187396352
87,service,hot,0.6517412935323383,0.6517412935323383,0.6467661691542289,0.6500829187396352
853,dst_host_serror_rate,dst_host_srv_rerror_rate,0.6915422885572139,0.5970149253731343,0.6616915422885572,0.6500829187396351
