,Feature 1,Feature 2,Feature 3,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
1467,protocol_type,srv_serror_rate,diff_srv_rate,0.47761194029850745,0.5472636815920398,0.4925373134328358,0.505804311774461
5658,urgent,su_attempted,srv_rerror_rate,0.47761194029850745,0.48258706467661694,0.527363184079602,0.49585406301824214
1233,protocol_type,su_attempted,rerror_rate,0.5472636815920398,0.4427860696517413,0.48756218905472637,0.49253731343283585
8654,num_root,is_host_login,rerror_rate,0.4975124378109453,0.5074626865671642,0.472636815920398,0.49253731343283585
5132,wrong_fragment,su_attempted,diff_srv_rate,0.4975124378109453,0.4925373134328358,0.472636815920398,0.48756218905472637
6262,hot,num_access_files,dst_host_serror_rate,0.5074626865671642,0.48258706467661694,0.472636815920398,0.48756218905472637
2894,flag,serror_rate,same_srv_rate,0.5124378109452736,0.48258706467661694,0.46766169154228854,0.48756218905472637
1339,protocol_type,num_access_files,dst_host_diff_srv_rate,0.48258706467661694,0.5572139303482587,0.4129353233830846,0.4842454394693201
8614,num_root,num_access_files,diff_srv_rate,0.48756218905472637,0.4527363184079602,0.5074626865671642,0.4825870646766169
2845,flag,is_guest_login,dst_host_same_srv_rate,0.48756218905472637,0.4626865671641791,0.4975124378109453,0.4825870646766169
8311,su_attempted,num_outbound_cmds,diff_srv_rate,0.4577114427860697,0.472636815920398,0.5124378109452736,0.4809286898839138
4739,land,is_guest_login,dst_host_srv_diff_host_rate,0.5373134328358209,0.44776119402985076,0.4577114427860697,0.48092868988391374
3592,src_bytes,rerror_rate,diff_srv_rate,0.5572139303482587,0.4626865671641791,0.4228855721393035,0.48092868988391374
6863,num_failed_logins,srv_serror_rate,dst_host_srv_rerror_rate,0.5074626865671642,0.42786069651741293,0.5024875621890548,0.4792703150912106
9827,num_outbound_cmds,rerror_rate,dst_host_diff_srv_rate,0.5024875621890548,0.4925373134328358,0.4427860696517413,0.4792703150912106
9027,num_file_creations,serror_rate,srv_serror_rate,0.42786069651741293,0.4975124378109453,0.5124378109452736,0.4792703150912106
2433,flag,land,rerror_rate,0.472636815920398,0.46766169154228854,0.4925373134328358,0.4776119402985075
2402,flag,dst_bytes,srv_diff_host_rate,0.4626865671641791,0.48258706467661694,0.48756218905472637,0.4776119402985075
2783,flag,num_access_files,dst_host_diff_srv_rate,0.5074626865671642,0.4527363184079602,0.472636815920398,0.47761194029850745
7130,logged_in,num_shells,same_srv_rate,0.48258706467661694,0.5074626865671642,0.43781094527363185,0.4759535655058043
5139,wrong_fragment,su_attempted,dst_host_srv_diff_host_rate,0.4527363184079602,0.5024875621890548,0.472636815920398,0.4759535655058043
9832,num_outbound_cmds,rerror_rate,dst_host_rerror_rate,0.4577114427860697,0.5373134328358209,0.43283582089552236,0.4759535655058043
8069,root_shell,srv_serror_rate,srv_rerror_rate,0.4626865671641791,0.5074626865671642,0.4577114427860697,0.4759535655058043
6116,hot,root_shell,num_file_creations,0.5174129353233831,0.4577114427860697,0.4527363184079602,0.4759535655058043
10198,is_guest_login,serror_rate,dst_host_srv_diff_host_rate,0.472636815920398,0.4228855721393035,0.5323383084577115,0.4759535655058043
