,Feature 1,Feature 2,Feature 3,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
3620,src_bytes,same_srv_rate,srv_diff_host_rate,0.6865671641791045,0.7562189054726368,0.746268656716418,0.7296849087893863
3706,src_bytes,dst_host_srv_serror_rate,??,0.7064676616915423,0.6766169154228856,0.7860696517412935,0.723051409618574
3146,src_bytes,wrong_fragment,dst_host_rerror_rate,0.7611940298507462,0.6965174129353234,0.7114427860696517,0.723051409618574
3624,src_bytes,same_srv_rate,dst_host_diff_srv_rate,0.6865671641791045,0.7810945273631841,0.7014925373134329,0.7230514096185737
1697,service,dst_bytes,same_srv_rate,0.681592039800995,0.746268656716418,0.736318407960199,0.7213930348258707
1604,service,flag,urgent,0.7412935323383084,0.7114427860696517,0.7014925373134329,0.7180762852404644
3331,src_bytes,root_shell,??,0.7114427860696517,0.6965174129353234,0.736318407960199,0.714759535655058
898,protocol_type,src_bytes,land,0.7213930348258707,0.6965174129353234,0.7213930348258707,0.713101160862355
1680,service,dst_bytes,logged_in,0.746268656716418,0.6766169154228856,0.7164179104477612,0.7131011608623549
2360,flag,src_bytes,serror_rate,0.7512437810945274,0.6915422885572139,0.6965174129353234,0.7131011608623549
3688,src_bytes,dst_host_diff_srv_rate,??,0.736318407960199,0.681592039800995,0.7213930348258707,0.7131011608623549
3589,src_bytes,srv_serror_rate,??,0.7164179104477612,0.7263681592039801,0.6965174129353234,0.7131011608623549
2760,flag,num_shells,dst_host_diff_srv_rate,0.6915422885572139,0.7412935323383084,0.7064676616915423,0.7131011608623549
3243,src_bytes,num_failed_logins,dst_host_srv_rerror_rate,0.7064676616915423,0.7164179104477612,0.7164179104477612,0.7131011608623549
3247,src_bytes,logged_in,su_attempted,0.681592039800995,0.736318407960199,0.7213930348258707,0.7131011608623549
3455,src_bytes,num_access_files,dst_host_srv_rerror_rate,0.681592039800995,0.6965174129353234,0.7611940298507462,0.7131011608623549
3154,src_bytes,urgent,su_attempted,0.7213930348258707,0.7064676616915423,0.7014925373134329,0.7097844112769486
1606,service,flag,num_failed_logins,0.7064676616915423,0.6915422885572139,0.7313432835820896,0.7097844112769486
